stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"1646","1646","Italie","Rennes","48.086632","-1.668834","","","0","","","1"
"1647","1647","Henri Fréville","Rennes","48.087324","-1.674445","","","0","","","1"
"1650","1650","La Poterie","Rennes","48.087481","-1.643137","","","0","","","1"
"1651","1651","Jacques Cartier","Rennes","48.097202","-1.675197","","","0","","","2"
"1652","1652","Dulac","Rennes","48.132848","-1.695730","","","0","","","1"
"1653","1653","Dulac","Rennes","48.133287","-1.695350","","","0","","","1"
"1658","1658","Italie","Rennes","48.086500","-1.667379","","","0","","","1"
"1659","1659","Henri Fréville","Rennes","48.086752","-1.675501","","","0","","","0"
"1661","1661","Coubertin","Rennes","48.086525","-1.686923","","","0","","","2"
"1662","1662","Gare Sud Féval","Rennes","48.102849","-1.676557","","","0","","","1"
"1664","1664","Clemenceau","Rennes","48.094355","-1.674442","","","0","","","1"
"1665","1665","Atalante Champeaux","Rennes","48.113248","-1.713671","","","0","","","1"
"1666","1666","Atalante Champeaux","Rennes","48.113351","-1.713570","","","0","","","1"
"1667","1667","Robiquette","Rennes","48.136333","-1.696931","","","0","","","1"
"1668","1668","Coubertin","Rennes","48.086629","-1.689314","","","0","","","2"
"1669","1669","Villejean-Université","Rennes","48.121347","-1.705587","","","0","","","1"
"1670","1670","Normandie","Rennes","48.123830","-1.709030","","","0","","","1"
"1671","1671","La Harpe","Rennes","48.125667","-1.710339","","","0","","","1"
"1672","1672","Meynier","Rennes","48.128014","-1.707917","","","0","","","1"
"1673","1673","Parc Beauregard","Rennes","48.131151","-1.703845","","","0","","","1"
"1674","1674","Malraux","Rennes","48.133754","-1.702745","","","0","","","1"
"1675","1675","Mandela","Rennes","48.134888","-1.698409","","","0","","","1"
"1676","1676","Dulac","Rennes","48.133560","-1.695988","","","0","","","1"
"1677","1677","Mandela","Rennes","48.134807","-1.698815","","","0","","","1"
"1678","1678","Malraux","Rennes","48.133657","-1.703064","","","0","","","1"
"1679","1679","Parc Beauregard","Rennes","48.131013","-1.703957","","","0","","","1"
"1680","1680","Meynier","Rennes","48.128538","-1.708144","","","0","","","1"
"1681","1681","La Harpe","Rennes","48.125418","-1.710377","","","0","","","1"
"1682","1682","Normandie","Rennes","48.123628","-1.709222","","","0","","","1"
"1683","1683","Turmel","Rennes","48.121789","-1.650919","","","0","","","1"
"1684","1684","Turmel","Rennes","48.121669","-1.651209","","","0","","","1"
"1686","1686","La Poterie","Rennes","48.088721","-1.644782","","","0","","","0"
"1699","1699","François Château","Rennes","48.111091","-1.648447","","","0","","","1"
"1700","1700","François Château","Rennes","48.111065","-1.648929","","","0","","","1"
"1702","1702","TNB","Rennes","48.108496","-1.673560","","","0","","","1"
"1703","1703","TNB","Rennes","48.108545","-1.673805","","","0","","","1"
"1704","1704","Sévigné","Rennes","48.115905","-1.674132","","","0","","","1"
"1705","1705","Fossés","Rennes","48.113256","-1.675155","","","0","","","1"
"1706","1706","Place Pasteur","Rennes","48.111125","-1.674547","","","0","","","1"
"1707","1707","Place Pasteur","Rennes","48.110746","-1.674494","","","0","","","1"
"1708","1708","Gros-Chêne","Rennes","48.125567","-1.664832","","","0","","","1"
"1709","1709","Gros-Chêne","Rennes","48.125200","-1.663540","","","0","","","1"
"1710","1710","Joliot-Curie - Chateaubriand","Rennes","48.124576","-1.651506","","","0","","","1"
"1711","1711","Joliot-Curie - Chateaubriand","Rennes","48.123677","-1.651527","","","0","","","1"
"1714","1714","Mabilais","Rennes","48.105142","-1.691901","","","0","","","1"
"1715","1715","Mabilais","Rennes","48.105032","-1.691929","","","0","","","1"
"1720","1720","Redon","Rennes","48.105968","-1.688585","","","0","","","1"
"1721","1721","Gares","Rennes","48.104041","-1.673268","","","0","","","1"
"1722","1722","Gares","Rennes","48.104179","-1.672579","","","0","","","1"
"1723","1723","Les Gayeulles","Rennes","48.129493","-1.656869","","","0","","","1"
"1724","1724","Les Gayeulles","Rennes","48.129673","-1.656719","","","0","","","1"
"1725","1725","Les Gayeulles","Rennes","48.129932","-1.656876","","","0","","","1"
"1728","1728","Berthault","Rennes","48.105874","-1.729341","","","0","","","1"
"1732","1732","République","Rennes","48.109515","-1.678042","","","0","","","1"
"1734","1734","Joliot-Curie","Rennes","48.127761","-1.651149","","","0","","","1"
"1737","1737","Joliot-Curie","Rennes","48.126495","-1.651929","","","0","","","1"
"1738","1738","Joliot-Curie","Rennes","48.126076","-1.651993","","","0","","","1"
"1739","1739","Beaulieu Chimie","Rennes","48.117714","-1.634239","","","0","","","1"
"1740","1740","Charles de Gaulle","Rennes","48.104779","-1.677293","","","0","","","1"
"1741","1741","Olivier de Serres","Rennes","48.128016","-1.686918","","","0","","","0"
"1742","1742","Olivier de Serres","Rennes","48.126544","-1.686312","","","0","","","0"
"1743","1743","Galicie","Rennes","48.088018","-1.650713","","","0","","","1"
"1746","1746","La Poterie","Rennes","48.087395","-1.642489","","","0","","","1"
"1747","1747","La Poterie","Rennes","48.087353","-1.642642","","","0","","","1"
"1758","1758","Durafour Leclerc","Rennes","48.114706","-1.655527","","","0","","","0"
"1759","1759","Durafour Leclerc","Rennes","48.114610","-1.655223","","","0","","","0"
"1760","1760","Semprùn","Rennes","48.109577","-1.645888","","","0","","","0"
"1761","1761","Monnerville","Rennes","48.107494","-1.649488","","","0","","","0"
"1762","1762","Monnerville","Rennes","48.107392","-1.649110","","","0","","","0"
"1763","1763","Semprùn","Rennes","48.109767","-1.645788","","","0","","","0"
"2002","2002","Cesson Hôpital Privé","Cesson-Sévigné","48.130233","-1.627664","","","0","","","1"
"2003","2003","Cesson Hôpital Privé","Cesson-Sévigné","48.130071","-1.628026","","","0","","","1"
"2006","2006","Petits Champs","Cesson-Sévigné","48.125255","-1.596592","","","0","","","1"
"2007","2007","Bourgchevreuil","Cesson-Sévigné","48.123121","-1.600517","","","0","","","1"
"2008","2008","La Coulée","Cesson-Sévigné","48.123628","-1.604384","","","0","","","1"
"2009","2009","Fontenelle","Cesson-Sévigné","48.123585","-1.608134","","","0","","","1"
"2010","2010","Mare Pavée","Cesson-Sévigné","48.122790","-1.610938","","","0","","","1"
"2011","2011","Maison d'Accueil","Cesson-Sévigné","48.121108","-1.609980","","","0","","","1"
"2012","2012","Muguet","Cesson-Sévigné","48.118390","-1.608504","","","0","","","1"
"2013","2013","Vilaine","Cesson-Sévigné","48.116419","-1.607397","","","0","","","1"
"2014","2014","Sports et Nature","Cesson-Sévigné","48.114721","-1.609708","","","0","","","1"
"2015","2015","Hublais","Cesson-Sévigné","48.114253","-1.616314","","","0","","","1"
"2016","2016","Taillis","Cesson-Sévigné","48.114224","-1.621951","","","0","","","1"
"2017","2017","Champs Péans","Cesson-Sévigné","48.114121","-1.630367","","","0","","","1"
"2019","2019","Champs Péans","Cesson-Sévigné","48.114037","-1.628008","","","0","","","1"
"2020","2020","Taillis","Cesson-Sévigné","48.114105","-1.621837","","","0","","","1"
"2021","2021","Hublais","Cesson-Sévigné","48.114168","-1.613754","","","0","","","1"
"2022","2022","Sports et Nature","Cesson-Sévigné","48.114642","-1.609545","","","0","","","1"
"2023","2023","Vilaine","Cesson-Sévigné","48.115593","-1.606961","","","0","","","1"
"2024","2024","Muguet","Cesson-Sévigné","48.118449","-1.608322","","","0","","","1"
"2025","2025","Maison d'Accueil","Cesson-Sévigné","48.121255","-1.609884","","","0","","","1"
"2026","2026","Mare Pavée","Cesson-Sévigné","48.122782","-1.610770","","","0","","","1"
"2027","2027","Fontenelle","Cesson-Sévigné","48.123456","-1.608183","","","0","","","1"
